Variable,p-value,T-score
GSM1402321,0.092197644,-1.685608062
GSM1402322,0.042436923,2.031929092
GSM1402323,2.22E-05,4.263000447
GSM1402324,0.000126866,3.84824371
GSM1402325,3.58E-05,4.152395029
GSM1402326,0.884431502,-0.145392667
GSM1402327,0.030478718,2.167032666
GSM1402328,1.20E-17,-8.7211566
GSM1402329,0.000337109,-3.598004891
GSM1402330,0.193231424,-1.301995834
GSM1402331,0.002046194,-3.091938344
GSM1402332,0.163742576,-1.393665332
GSM1402333,0.056725347,-1.907731271
GSM1402334,1.02E-08,5.778580269
GSM1402335,0.05802024,-1.897824455
GSM1402336,0.017142829,2.387801862
GSM1402337,2.84E-07,5.170920029
GSM1402338,0.00083227,-3.352497664
GSM1402339,0.419911666,-0.806922793
GSM1402340,0.067227226,1.832235902
GSM1402341,0.008867597,-2.622499241
GSM1402342,4.25E-09,5.929318841
GSM1402343,0.060175222,-1.881737934
GSM1402344,0.217216717,1.234777518
GSM1402345,0.065187692,1.846093015
GSM1402346,0.900914701,-0.124539004
GSM1402347,0.32323994,0.988332431
GSM1402348,0.007033848,-2.701074126
GSM1402349,0.794303668,0.260799018
GSM1402350,0.181252826,-1.33788272
GSM1402351,5.14E-05,-4.067737871
GSM1402352,0.002414874,-3.041924139
GSM1402353,0.003161711,-2.959075547
GSM1402354,0.298020888,-1.041254093
GSM1402355,0.113658128,1.583412862
GSM1402356,0.974645085,0.031791345
GSM1402357,0.000892224,-3.332965767
GSM1402358,0.037855879,-2.079299838
GSM1402359,2.90E-09,5.994126617
GSM1402360,0.398584309,-0.844530514
GSM1402361,0.000642254,3.424436724
GSM1402362,0.799952432,-0.253479201
GSM1402363,0.914339494,0.107595057
GSM1402364,0.003650544,-2.914078957
GSM1402365,0.080421562,1.750101736
GSM1402366,0.418667381,0.809085324
GSM1402367,5.25E-05,4.062595025
GSM1402368,0.00195163,3.106099493
GSM1402369,0.001201452,-3.248291016
GSM1402370,0.43815116,0.775643798
GSM1402371,0.000478748,3.504463314
GSM1402372,0.074884071,-1.783119403
GSM1402373,0.10251904,-1.634328877
GSM1402374,0.009075224,-2.614545126
GSM1402375,0.008797635,-2.625217023
GSM1402376,4.46E-08,-5.515980931
GSM1402377,0.669590538,0.426841973
GSM1402378,0.610639454,0.5093286
GSM1402379,8.90E-05,3.935622151
GSM1402380,0.278591244,1.08410574
GSM1402381,0.00123323,-3.240773385
GSM1402382,1.56E-05,4.341807896
GSM1402383,0.007073277,-2.699199986
GSM1402384,0.000343206,3.59327552
GSM1402385,0.983428594,-0.020776106
GSM1402386,0.032830228,2.137257744
GSM1402387,0.528281622,-0.630861882
GSM1402388,1.75E-05,-4.317139819
GSM1402389,0.133762798,-1.500702151
GSM1402390,2.80E-05,4.209152695
GSM1402391,0.184263157,-1.328702616
GSM1402392,6.66E-09,5.852192001
GSM1402393,0.000982999,3.305596652
GSM1402394,0.443034366,-0.767398056
GSM1402395,2.91E-07,-5.166173637
GSM1402396,0.000166697,-3.779769653
GSM1402397,4.68E-08,-5.507510513
GSM1402398,0.011775471,-2.523648836
GSM1402399,0.200288531,-1.281614864
GSM1402400,0.009426974,-2.601433667
GSM1402401,0.002535726,3.027050244
GSM1402402,0.19383071,-1.30024406
GSM1402403,0.004513752,-2.846576963
GSM1402404,0.061548251,1.871736434
GSM1402405,8.29E-05,3.952968979
GSM1402406,3.59E-07,-5.125482508
GSM1402407,2.89E-12,-7.074769116
GSM1402408,0.184801336,-1.327073168
GSM1402409,0.005162911,2.803155052
GSM1402410,0.001252584,-3.23628226
GSM1402411,0.821687857,-0.225436556
GSM1402412,3.87E-05,4.134611531
GSM1402413,0.001010571,-3.297747177
GSM1402414,0.76087283,-0.30442178
GSM1402415,0.061220361,1.874107914
GSM1402416,4.95E-08,-5.497280654
GSM1402417,0.09706056,1.660904315
GSM1402418,0.116191755,-1.572386781
GSM1402419,0.049939702,-1.962966342
GSM1402420,0.032034351,2.147124035
GSM1402421,7.20E-06,-4.512576581
GSM1402422,0.010990522,2.547974734
GSM1402423,0.000867318,3.340927011
GSM1402424,0.23080376,-1.199054784
GSM1402425,0.299734886,-1.037565196
GSM1402426,3.06E-06,-4.694761102
GSM1402427,1.93E-05,4.295025206
GSM1402428,0.20448437,-1.269745259
GSM1402429,0.574366018,0.561826361
GSM1402430,0.047794318,-1.981740884
GSM1402431,0.524353816,-0.636882558
GSM1402432,5.47E-07,5.043379777
GSM1402433,0.017453156,-2.381160379
GSM1402434,1.55E-09,-6.098343329
GSM1402435,0.497394485,-0.678854305
